"Last updated","By","Route","Date of exposure","Time of exposure","Start location","End location","Health advice"
"02/08/2021","Bus","601","Saturday 24 July 2021","9:26am to 9:47am","Parramatta StationStand A4","Castle HillVictoria Avenue before Gladstone Road","Anyone who travelled on this service is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"02/08/2021","Bus","601","Saturday 24 July 2021","8:47pm to 9:07pm","Castle HillVictoria Avenue after Carrington Road","Parramatta StationStand B3","Anyone who travelled on this service is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"02/08/2021","Bus","705","Thursday 22 July 2021","6:20pm to 6:25pm","Pendle HillJoyce Street opposite Pendle Hill Station","GirraweenMandoon Road at Girraween","Anyone who travelled on this service is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"31/07/2021","Bus","461X","Tuesday 27 July 2021","8:09am to 8:17am","Summer HillParramatta Road after Sloane Street","CamperdownParramatta Road before Lyons Road","Anyone who travelled on this service is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"31/07/2021","Bus","473","Monday 26 July 2021","2:42pm to 2:51pm","CampsieDan's Corner, Beamish Street","EarlwoodEarlwood Shops","Anyone who travelled on this service is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"30/07/2021","Bus","492","Sunday 25 July 2021","11:06am to 11:15am","Campsie StationBeamish Street, Stand B","KingsgroveKingsgrove Road at Kingsgrove Avenue","Anyone who travelled on this service is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"30/07/2021","Bus","418-48","Sunday 25 July 2021","8:47am to 8:54am","StrathfieldLeicester Ave before Parramatta Road","Concord WestNSW Institute of Sports Medicine, Hospital Road","Anyone who travelled on this service is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"30/07/2021","Bus","415-81","Saturday 24 July 2021","4:51pm to 5:02pm","Strathfield StationAlbert Road, Stand G","BellfieldBelfield Shops, Burwood Road","Anyone who travelled on this service is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"30/07/2021","Train","T2 Inner West and Leppington Line","Friday 23 July 2021","4:11pm to 4:50pm","AuburnStation","Edmonson ParkStation","Anyone who travelled on this service is a casual contact and must get tested and self-isolate until they receive a negative result. If you were on this service less than 4 days from the date of exposure you must get another test 5 days after you were there. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"30/07/2021","Train","T2 Inner West and Leppington Line","Friday 23 July 2021","11:43pm to 12:23am","Edmonson ParkStation","AuburnStation","Anyone who travelled on this service is a casual contact and must get tested and self-isolate until they receive a negative result. If you were on this service less than 4 days from the date of exposure you must get another test 5 days after you were there. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
